angulo;distancia
0;39
5;39
10;39
15;39
20;39
25;39
30;39
35;39
40;39
45;39
50;39
55;39
60;39
65;39
70;39
75;39
80;39
85;39
90;39
95;40
100;40
105;40
110;40
115;40
120;40
125;40
130;40
135;40
140;40
145;40
150;40
155;40
160;41
165;40
170;40
175;40
180;41
185;41
190;41
195;41
200;41
205;41
210;42
215;41
220;41
225;42
230;43
235;42
240;42
245;43
250;43
255;43
260;42
265;43
270;43
275;42
280;43
285;43
290;43
295;44
300;44
305;45
310;44
315;44
320;45
325;45
330;45
335;46
340;46
345;46
350;46
355;46
360;47
365;47
370;47
375;48
380;49
385;48
390;48
395;49
400;49
405;49
410;49
415;49
420;50
425;51
430;51
435;51
440;51
445;51
450;52
455;52
460;52
465;53
470;53
475;54
480;54
485;55
490;55
495;56
500;56
505;57
510;57
515;57
520;58
525;59
530;60
535;61
540;61
545;62
550;63
555;63
560;64
565;64
570;65
575;66
580;67
585;67
590;69
595;69
600;69
605;70
610;71
615;72
620;73
625;74
630;76
635;77
640;77
645;77
650;76
655;76
660;76
665;75
670;75
675;74
680;74
685;73
690;73
695;72
700;72
705;71
710;71
715;70
720;70
725;70
730;69
735;69
740;69
745;68
750;68
755;68
760;67
765;67
770;67
775;67
780;66
785;66
790;66
795;65
800;65
805;65
810;65
815;64
820;64
825;64
830;64
835;63
840;63
845;63
850;63
855;63
860;62
865;62
870;62
875;62
880;62
885;61
890;61
895;61
900;61
905;61
910;61
915;61
920;60
925;60
930;60
935;60
940;60
945;60
950;60
955;60
960;59
965;59
970;59
975;59
980;59
985;59
990;59
995;59
1000;59
1005;59
1010;58
1015;58
1020;58
1025;58
1030;58
1035;58
1040;58
1045;58
1050;58
1055;58
1060;58
1065;57
1070;57
1075;58
1080;58
1085;58
1090;57
1095;57
1100;57
1105;58
1110;57
1115;57
1120;57
1125;57
1130;57
1135;57
1140;57
1145;57
1150;57
1155;57
1160;57
1165;57
1170;57
1175;57
1180;57
1185;57
1190;57
1195;57
1200;57
1205;58
1210;58
1215;58
1220;58
1225;58
1230;58
1235;58
1240;58
1245;58
1250;58
1255;59
1260;58
1265;58
1270;59
1275;59
1280;59
1285;59
1290;60
1295;60
1300;60
1305;60
1310;60
1315;60
1320;60
1325;60
1330;60
1335;61
1340;61
1345;61
1350;61
1355;61
1360;62
1365;62
1370;62
1375;62
1380;62
1385;63
1390;63
1395;63
1400;63
1405;62
1410;61
1415;62
1420;61
1425;61
1430;60
1435;60
1440;59
1445;59
1450;59
1455;58
1460;57
1465;57
1470;56
1475;57
1480;56
1485;55
1490;55
1495;55
1500;55
1505;54
1510;54
1515;54
1520;53
1525;52
1530;52
1535;52
1540;52
1545;52
1550;52
1555;51
1560;51
1565;50
1570;50
1575;50
1580;50
1585;50
1590;49
1595;49
1600;48
1605;48
1610;49
1615;48
1620;48
1625;48
1630;47
1635;47
1640;47
1645;47
1650;47
1655;47
1660;46
1665;46
1670;46
1675;45
1680;46
1685;46
1690;46
1695;46
1700;46
1705;45
1710;45
1715;45
1720;45
1725;45
1730;45
1735;45
1740;44
1745;44
1750;44
1755;44
1760;44
1765;44
1770;44
1775;44
1780;44
1785;44
1790;44
1795;43
1800;44
1805;43
1810;43
1815;44
1820;43
1825;43
1830;43
1835;43
1840;43
1845;43
1850;43
1855;43
1860;43
1865;43
1870;43
1875;43
1880;43
1885;43
1890;43
1895;43
1900;43
1905;43
1910;43
1915;43
1920;43
1925;43
1930;43
1935;43
1940;43
1945;43
1950;43
1955;43
1960;43
1965;43
1970;43
1975;43
1980;43
1985;43
1990;43
1995;43
2000;43
2005;43
2010;43
2015;43
2020;43
2025;43
2030;43
2035;43
2040;43
2045;43
2050;43
2055;43
2060;43
2065;43
2070;43
2075;44
2080;43
2085;43
2090;44
2095;44
2100;44
2105;44
2110;44
2115;43
2120;44
2125;44
2130;44
2135;44
2140;44
2145;44
2150;45
2155;44
2160;44
2165;45
2170;45
2175;45
2180;45
2185;46
2190;46
2195;45
2200;46
2205;46
2210;46
2215;46
2220;46
2225;46
2230;47
2235;47
2240;47
2245;47
2250;47
2255;47
2260;48
2265;47
2270;48
2275;48
2280;48
2285;48
2290;49
2295;49
2300;50
2305;50
2310;50
2315;49
2320;50
2325;50
2330;51
2335;51
2340;51
2345;51
2350;52
2355;52
2360;52
2365;53
2370;52
2375;53
2380;54
2385;54
2390;54
2395;54
2400;55
2405;55
2410;55
2415;56
2420;56
2425;56
2430;57
2435;58
2440;58
2445;58
2450;59
2455;60
2460;59
2465;60
2470;60
2475;61
2480;62
2485;63
2490;64
2495;64
2500;65
2505;66
2510;66
2515;67
2520;67
2525;68
2530;69
2535;69
2540;70
2545;70
2550;71
2555;72
2560;73
2565;74
2570;74
2575;76
2580;76
2585;78
2590;78
2595;79
2600;80
2605;81
2610;83
2615;84
2620;85
2625;85
2630;85
2635;85
2640;85
2645;85
2650;85
2655;84
2660;84
2665;83
2670;83
2675;83
2680;83
2685;82
2690;82
2695;81
2700;80
2705;80
2710;79
2715;79
2720;79
2725;79
2730;78
2735;78
2740;78
2745;78
2750;78
2755;77
2760;77
2765;77
2770;77
2775;76
2780;76
2785;76
2790;76
2795;76
2800;76
2805;76
2810;76
2815;76
2820;75
2825;75
2830;75
2835;75
2840;75
2845;75
2850;75
2855;74
2860;74
2865;74
2870;74
2875;74
2880;74
2885;74
2890;74
2895;74
2900;74
2905;74
2910;74
2915;74
2920;74
2925;74
2930;74
2935;74
2940;74
2945;74
2950;74
2955;74
2960;74
2965;74
2970;74
2975;74
2980;74
2985;74
2990;74
2995;74
3000;74
3005;74
3010;74
3015;74
3020;74
3025;74
3030;74
3035;74
3040;74
3045;74
3050;75
3055;75
3060;75
3065;75
3070;75
3075;75
3080;75
3085;75
3090;75
3095;76
3100;76
3105;76
3110;76
3115;76
3120;76
3125;76
3130;77
3135;77
3140;77
3145;77
3150;77
3155;78
3160;79
3165;79
3170;80
3175;80
3180;80
3185;80
3190;80
3195;81
3200;81
3205;81
3210;81
3215;82
3220;82
3225;82
3230;83
3235;83
3240;83
3245;84
3250;84
3255;83
3260;83
3265;82
3270;81
3275;81
3280;80
3285;78
3290;77
3295;76
3300;75
3305;74
3310;72
3315;72
3320;71
3325;70
3330;69
3335;68
3340;67
3345;66
3350;66
3355;65
3360;64
3365;63
3370;63
3375;62
3380;61
3385;61
3390;61
3395;60
3400;59
3405;59
3410;58
3415;58
3420;57
3425;57
3430;56
3435;56
3440;55
3445;55
3450;54
3455;54
3460;54
3465;53
3470;53
3475;53
3480;52
3485;52
3490;52
3495;51
3500;51
3505;51
3510;51
3515;50
3520;50
3525;50
3530;49
3535;49
3540;49
3545;48
3550;48
3555;48
3560;48
3565;48
3570;48
3575;47
3580;47
3585;47
3590;46
3595;46
3600;46
3605;46
3610;46
3615;46
3620;45
3625;45
3630;45
3635;45
3640;45
3645;45
3650;44
3655;44
3660;44
3665;44
3670;44
3675;44
3680;44
3685;44
3690;43
3695;43
3700;43
3705;43
3710;43
3715;43
3720;43
3725;42
3730;42
3735;42
3740;42
3745;42
3750;42
3755;42
3760;42
3765;42
3770;42
3775;42
3780;42
3785;42
3790;41
3795;41
3800;41
3805;41
3810;41
3815;41
3820;41
3825;41
3830;41
3835;41
3840;41
3845;41
3850;41
3855;41
3860;41
3865;41
3870;41
3875;41
3880;41
3885;41
3890;41
3895;41
3900;41
3905;41
3910;41
3915;41
3920;41
3925;41
3930;41
3935;41
3940;41
3945;41
3950;41
3955;41
3960;39
3965;39
3970;39
3975;39
3980;39
3985;39
3990;39
3995;39
